price,bedrooms,bathrooms,sqft_living
221900,3,1,1180
538000,3,2.25,2570
180000,2,1,770
604000,4,3,1960
510000,3,2,1680
510000,4,4.5,5420
257500,3,2.25,1715
291850,3,1.5,1060
229500,3,1,1780
323000,3,2.5,1890
662500,3,2.5,3560
468000,2,1,1160
310000,3,1,1430
400000,3,1.75,1370
530000,5,2,1810
650000,4,3,2950
395000,3,2,1890
485000,4,1,1600
189000,2,1,1200
230000,3,1,1250
385000,4,1.75,1620
385000,3,2.75,3050
285000,5,2.5,2270
252700,2,1.5,1070
329000,3,2.25,2450
233000,3,2,1710
937000,3,1.75,2450
667000,3,1,1400
438000,3,1.75,1520
719000,4,2.5,2570
580500,3,2.5,2320
280000,2,1.5,1190
687500,4,1.75,2330
535000,3,1,1090
322500,4,2.75,2060
696000,3,2.5,2300
550000,4,1,1660
640000,4,2,2360
240000,4,1,1220
605000,4,2.5,2620
625000,4,2.5,2570
775000,4,2.25,4220
861990,5,2.75,3595
685000,3,1,1570
309000,3,1,1280
488000,3,2.5,3160
210490,3,1,990
785000,4,2.5,2290
450000,3,1.75,1250
450000,3,2.5,2753
228000,3,1,1190
345000,5,2.5,3150
600000,3,1.75,1410
585000,2,1.75,1980
920000,5,2.25,2730
885000,4,2.5,2830
292500,4,2.5,2250
301000,3,2.5,2420
951000,5,3.25,3250
430000,4,3,1850
650000,3,2.25,2150
289000,3,1.75,1260
505000,3,1.75,2519
549000,3,1.75,1540
425000,3,2.25,1660
317625,3,2.75,2770
975000,4,2.5,2720
287000,4,2.5,2240
204000,3,1,1000
287000,5,2.25,3200
287000,5,3.25,4770
325000,3,2,1260
571000,4,2,2750
360000,4,2.5,2380
349000,3,1.75,1790
832500,4,4,3430
380000,4,1.75,1760
480000,3,1,1040
410000,3,1,1410
720000,4,2.5,3450
390000,3,2.5,2350
360000,4,2.5,1900
355000,2,1,2020
356000,3,1.5,1680
315000,3,1,960
940000,3,1.5,2140
305000,5,2.25,2660
461000,3,3.25,2770
215000,2,2.25,1610
335000,2,1.75,1030
243500,4,2.5,1980
700000,5,2.75,3520
